name,url
BTC,https://www.huobi.pe/zh-cn/cross-margin/btc_usdt
ETH,https://www.huobi.pe/zh-cn/cross-margin/eth_usdt
HT,https://www.huobi.pe/zh-cn/cross-margin/ht_usdt
DOT,https://www.huobi.pe/zh-cn/cross-margin/dot_usdt
XRP,https://www.huobi.pe/zh-cn/cross-margin/xrp_usdt
LINK,https://www.huobi.pe/zh-cn/cross-margin/link_usdt
BCH,https://www.huobi.pe/zh-cn/cross-margin/bch_usdt
LTC,https://www.huobi.pe/zh-cn/cross-margin/ltc_usdt
BSV,https://www.huobi.pe/zh-cn/cross-margin/bsv_usdt
ADA,https://www.huobi.pe/zh-cn/cross-margin/ada_usdt
EOS,https://www.huobi.pe/zh-cn/cross-margin/eos_usdt
TRX,https://www.huobi.pe/zh-cn/cross-margin/trx_usdt
XMR,https://www.huobi.pe/zh-cn/cross-margin/xmr_usdt
DASH,https://www.huobi.pe/zh-cn/cross-margin/dash_usdt
ETC,https://www.huobi.pe/zh-cn/cross-margin/etc_usdt
ZEC,https://www.huobi.pe/zh-cn/cross-margin/zec_usdt
DOGE,https://www.huobi.pe/zh-cn/cross-margin/doge_usdt
FIL,https://www.huobi.pe/zh-cn/cross-margin/fil_usdt
BTT,https://www.huobi.pe/zh-cn/cross-margin/btt_usdt
UNI,https://www.huobi.pe/zh-cn/cross-margin/uni_usdt
SUSHI,https://www.huobi.pe/zh-cn/cross-margin/sushi_usdt
CRV,https://www.huobi.pe/zh-cn/cross-margin/crv_usdt
XLM,https://www.huobi.pe/zh-cn/cross-margin/xlm_usdt
AAVE,https://www.huobi.pe/zh-cn/cross-margin/aave_usdt
ONT,https://www.huobi.pe/zh-cn/cross-margin/ont_usdt
ATOM,https://www.huobi.pe/zh-cn/cross-margin/atom_usdt
OMG,https://www.huobi.pe/zh-cn/cross-margin/omg_usdt
QTUM,https://www.huobi.pe/zh-cn/cross-margin/qtum_usdt
THETA,https://www.huobi.pe/zh-cn/cross-margin/theta_usdt
LOST,https://www.huobi.pe/zh-cn/cross-margin/lost_usdt
VET,https://www.huobi.pe/zh-cn/cross-margin/vet_usdt
KSM,https://www.huobi.pe/zh-cn/cross-margin/ksm_usdt
YFI,https://www.huobi.pe/zh-cn/cross-margin/yfi_usdt
NEO,https://www.huobi.pe/zh-cn/cross-margin/neo_usdt
NEAR,https://www.huobi.pe/zh-cn/cross-margin/near_usdt
ALGO,https://www.huobi.pe/zh-cn/cross-margin/algo_usdt
XTZ,https://www.huobi.pe/zh-cn/cross-margin/xtz_usdt
YFII,https://www.huobi.pe/zh-cn/cross-margin/yfii_usdt
WICC,https://www.huobi.pe/zh-cn/cross-margin/wicc_usdt
COMP,https://www.huobi.pe/zh-cn/cross-margin/comp_usdt
WAVES,https://www.huobi.pe/zh-cn/cross-margin/waves_usdt
ZIL,https://www.huobi.pe/zh-cn/cross-margin/zil_usdt
RSR,https://www.huobi.pe/zh-cn/cross-margin/rsr_usdt
CRO,https://www.huobi.pe/zh-cn/cross-margin/cro_usdt
BAND,https://www.huobi.pe/zh-cn/cross-margin/band_usdt
